date,open,high,low,close,volume,amount,stock_code,stock_name,market
2023-03-06,1674.81,1675.1,1655.08,1664.64,2064586,,sh.600519,A股贵州茅台,CN
2023-03-07,1663.57,1673.35,1647.01,1647.28,2278539,,sh.600519,A股贵州茅台,CN
2023-03-08,1639.65,1645.11,1622.25,1630.81,2276370,,sh.600519,A股贵州茅台,CN
2023-03-09,1628.58,1644.24,1602.79,1630.44,2761150,,sh.600519,A股贵州茅台,CN
2023-03-10,1613.45,1640.56,1612.0,1612.0,2116082,,sh.600519,A股贵州茅台,CN
2023-03-13,1612.92,1635.03,1611.08,1623.06,2056043,,sh.600519,A股贵州茅台,CN
2023-03-14,1624.7,1639.53,1601.41,1626.74,2370492,,sh.600519,A股贵州茅台,CN
2023-03-15,1638.13,1644.13,1612.11,1612.85,1921253,,sh.600519,A股贵州茅台,CN
2023-03-16,1602.79,1630.42,1601.88,1613.84,1764624,,sh.600519,A股贵州茅台,CN
2023-03-17,1630.42,1635.85,1599.11,1604.63,2702291,,sh.600519,A股贵州茅台,CN
2023-03-20,1612.92,1616.61,1591.74,1593.21,2049093,,sh.600519,A股贵州茅台,CN
2023-03-21,1598.18,1645.03,1588.02,1635.03,3114182,,sh.600519,A股贵州茅台,CN
2023-03-22,1639.64,1651.61,1626.33,1633.51,1533026,,sh.600519,A股贵州茅台,CN
2023-03-23,1626.74,1649.87,1625.83,1634.9,1735566,,sh.600519,A股贵州茅台,CN
2023-03-24,1629.58,1642.95,1626.74,1638.37,1276996,,sh.600519,A股贵州茅台,CN
2023-03-27,1638.35,1638.35,1617.53,1628.39,1529555,,sh.600519,A股贵州茅台,CN
2023-03-28,1630.42,1648.85,1625.84,1641.29,1726135,,sh.600519,A股贵州茅台,CN
2023-03-29,1657.14,1658.06,1644.31,1648.85,1539299,,sh.600519,A股贵州茅台,CN
2023-03-30,1651.61,1662.66,1638.72,1658.06,1925701,,sh.600519,A股贵州茅台,CN
2023-03-31,1681.09,1702.27,1675.56,1676.48,2744633,,sh.600519,A股贵州茅台,CN
2023-04-03,1681.09,1683.64,1658.13,1659.97,2141743,,sh.600519,A股贵州茅台,CN
2023-04-04,1669.11,1672.03,1646.08,1671.5,2006626,,sh.600519,A股贵州茅台,CN
2023-04-06,1662.66,1672.71,1647.21,1655.26,1487422,,sh.600519,A股贵州茅台,CN
2023-04-07,1653.45,1663.6,1647.32,1649.76,1352468,,sh.600519,A股贵州茅台,CN
2023-04-10,1649.66,1649.66,1606.48,1631.99,2941822,,sh.600519,A股贵州茅台,CN
2023-04-11,1651.61,1651.61,1606.48,1607.86,2920919,,sh.600519,A股贵州茅台,CN
2023-04-12,1609.48,1612.0,1559.33,1560.51,5110492,,sh.600519,A股贵州茅台,CN
2023-04-13,1556.73,1587.67,1551.22,1587.13,2954268,,sh.600519,A股贵州茅台,CN
2023-04-14,1589.89,1596.34,1570.37,1578.31,2123162,,sh.600519,A股贵州茅台,CN
2023-04-17,1602.79,1614.77,1591.74,1614.77,3046723,,sh.600519,A股贵州茅台,CN
2023-04-18,1614.77,1629.5,1608.34,1619.37,1831389,,sh.600519,A股贵州茅台,CN
2023-04-19,1623.06,1626.28,1612.0,1620.29,1460056,,sh.600519,A股贵州茅台,CN
2023-04-20,1621.31,1625.82,1592.66,1604.52,1988537,,sh.600519,A股贵州茅台,CN
2023-04-21,1608.32,1610.23,1585.55,1589.41,1851787,,sh.600519,A股贵州茅台,CN
2023-04-24,1585.29,1586.21,1566.87,1570.55,2023091,,sh.600519,A股贵州茅台,CN
2023-04-25,1571.47,1599.09,1567.79,1593.93,2058251,,sh.600519,A股贵州茅台,CN
2023-04-26,1606.48,1622.13,1584.37,1606.39,2789160,,sh.600519,A股贵州茅台,CN
2023-04-27,1610.16,1630.42,1593.58,1619.3,2560504,,sh.600519,A股贵州茅台,CN
2023-04-28,1623.99,1642.19,1615.66,1621.69,2622464,,sh.600519,A股贵州茅台,CN
2023-05-04,1629.5,1637.49,1599.11,1611.91,2746642,,sh.600519,A股贵州茅台,CN
2023-05-05,1626.74,1626.74,1599.47,1612.0,2071421,,sh.600519,A股贵州茅台,CN
2023-05-08,1628.88,1629.5,1581.76,1584.85,3317126,,sh.600519,A股贵州茅台,CN
2023-05-09,1579.76,1602.77,1572.46,1586.21,2937796,,sh.600519,A股贵州茅台,CN
2023-05-10,1579.94,1599.11,1579.76,1588.97,2077260,,sh.600519,A股贵州茅台,CN
2023-05-11,1594.5,1598.18,1579.76,1581.67,1524612,,sh.600519,A股贵州茅台,CN
2023-05-12,1579.76,1593.47,1570.56,1571.84,1946045,,sh.600519,A股贵州茅台,CN
2023-05-15,1567.79,1581.6,1557.84,1580.96,2574018,,sh.600519,A股贵州茅台,CN
2023-05-16,1578.83,1584.36,1563.18,1568.98,2222377,,sh.600519,A股贵州茅台,CN
2023-05-17,1573.31,1577.92,1565.03,1566.87,1677691,,sh.600519,A股贵州茅台,CN
2023-05-18,1570.54,1570.92,1556.73,1557.65,1921928,,sh.600519,A股贵州茅台,CN
2023-05-19,1539.23,1569.93,1525.0,1565.48,2674116,,sh.600519,A股贵州茅台,CN
2023-05-22,1556.74,1613.84,1556.73,1608.32,4128432,,sh.600519,A股贵州茅台,CN
2023-05-23,1615.68,1615.69,1588.56,1588.56,1689421,,sh.600519,A股贵州茅台,CN
2023-05-24,1595.73,1596.85,1575.26,1575.99,1847927,,sh.600519,A股贵州茅台,CN
2023-05-25,1571.46,1575.16,1556.73,1566.87,2246560,,sh.600519,A股贵州茅台,CN
2023-05-26,1567.79,1570.55,1542.93,1557.25,1829110,,sh.600519,A股贵州茅台,CN
2023-05-29,1563.18,1564.42,1545.68,1555.81,1777141,,sh.600519,A股贵州茅台,CN
2023-05-30,1555.81,1564.92,1527.77,1536.74,2645340,,sh.600519,A股贵州茅台,CN
2023-05-31,1530.03,1534.37,1498.4,1500.45,3695697,,sh.600519,A股贵州茅台,CN
2023-06-01,1490.41,1542.91,1490.41,1506.92,2864525,,sh.600519,A股贵州茅台,CN
