date,open,high,low,close,volume,amount,stock_code,stock_name,market
2018-02-12,364.41,370.86,361.46,361.46,36723720,14074697203.0,HK.00700,腾讯控股,HK
2018-02-13,370.31,376.21,369.2,373.26,25714582,9999016747.0,HK.00700,腾讯控股,HK
2018-02-14,378.97,384.87,376.95,383.58,24174354,9597172034.0,HK.00700,腾讯控股,HK
2018-02-15,393.54,395.94,391.14,395.94,17741163,7268700956.0,HK.00700,腾讯控股,HK
2018-02-20,398.7,401.47,393.91,394.83,22218264,9191828610.0,HK.00700,腾讯控股,HK
2018-02-21,397.41,406.08,396.12,406.08,22134297,9252271928.0,HK.00700,腾讯控股,HK
2018-02-22,403.31,403.49,395.38,395.38,24282598,10103931356.0,HK.00700,腾讯控股,HK
2018-02-23,402.39,402.94,398.15,401.84,16262932,6785912224.0,HK.00700,腾讯控股,HK
2018-02-26,404.23,405.15,397.23,401.47,23053667,9607595633.0,HK.00700,腾讯控股,HK
2018-02-27,406.08,406.08,391.51,395.01,23874577,9892031649.0,HK.00700,腾讯控股,HK
2018-02-28,388.56,389.48,381.19,382.29,35320166,14167754644.0,HK.00700,腾讯控股,HK
2018-03-01,380.26,396.3,378.42,395.94,29411861,11933604982.0,HK.00700,腾讯控股,HK
2018-03-02,386.72,390.04,385.8,385.8,28086303,11341295306.0,HK.00700,腾讯控股,HK
2018-03-05,385.8,389.11,375.65,375.65,26076424,10358473778.0,HK.00700,腾讯控股,HK
2018-03-06,384.87,393.17,380.26,388.19,26915853,10862231124.0,HK.00700,腾讯控股,HK
2018-03-07,385.06,390.59,380.26,384.14,20889000,8378697219.0,HK.00700,腾讯控股,HK
2018-03-08,389.48,393.17,387.64,392.25,18990385,7737290370.0,HK.00700,腾讯控股,HK
2018-03-09,394.09,397.04,394.09,395.94,14129195,5813403406.0,HK.00700,腾讯控股,HK
2018-03-12,403.68,407.92,403.13,407.92,27675721,11660311091.0,HK.00700,腾讯控股,HK
2018-03-13,407.92,410.5,404.05,410.5,20070008,8515214136.0,HK.00700,腾讯控股,HK
2018-03-14,405.52,411.42,402.02,411.24,24528562,10323250741.0,HK.00700,腾讯控股,HK
2018-03-15,407.18,417.14,406.08,415.85,26796590,11506628848.0,HK.00700,腾讯控股,HK
2018-03-16,414.37,419.72,412.71,412.71,25924857,11179189686.0,HK.00700,腾讯控股,HK
2018-03-19,412.53,417.51,409.58,409.58,17667638,7584356726.0,HK.00700,腾讯控股,HK
2018-03-20,404.6,415.66,404.23,414.0,23814270,10158755309.0,HK.00700,腾讯控股,HK
2018-03-21,419.17,422.3,408.47,410.32,30638174,13278686357.0,HK.00700,腾讯控股,HK
2018-03-22,400.18,407.0,388.19,388.93,77938807,32204686257.0,HK.00700,腾讯控股,HK
2018-03-23,357.22,375.47,357.22,371.05,334582587,126137963774.0,HK.00700,腾讯控股,HK
2018-03-26,370.49,381.19,364.04,377.13,51309264,19913240770.0,HK.00700,腾讯控股,HK
2018-03-27,385.06,388.19,380.45,382.29,46259079,18516918556.0,HK.00700,腾讯控股,HK
2018-03-28,371.05,377.87,363.12,363.85,53115379,20468643021.0,HK.00700,腾讯控股,HK
2018-03-29,365.51,368.28,357.4,361.46,44600726,16899465578.0,HK.00700,腾讯控股,HK
2018-04-03,356.85,364.04,353.16,361.27,35674343,13371121273.0,HK.00700,腾讯控股,HK
2018-04-04,360.17,363.67,350.4,350.4,38901666,14454636988.0,HK.00700,腾讯控股,HK
2018-04-06,357.03,361.46,352.98,357.95,28840032,10780751214.0,HK.00700,腾讯控股,HK
2018-04-09,359.98,366.07,356.48,361.83,23019621,8701467950.0,HK.00700,腾讯控股,HK
2018-04-10,364.59,369.75,361.27,368.46,27752727,10638297478.0,HK.00700,腾讯控股,HK
2018-04-11,371.97,376.21,368.46,370.68,25938329,10066634139.0,HK.00700,腾讯控股,HK
